Date,Open,High,Low,Close,Volume
2010-01-01,97.08,99.31,96.96,97.11,126622250
2010-01-02,92.69,96.23,92.38,93.28,137439768
2010-01-03,92.97,93.36,89.56,92.32,159656216
2010-01-04,92.18,95.26,90.04,93.02,104307482
2010-01-05,93.91,94.68,92.48,93.35,75405720
2010-01-06,92.71,94.62,92.0,93.05,89229645
2010-01-07,96.76,96.82,96.39,96.44,170492520
2010-01-08,97.41,98.32,96.74,97.36,100245858
2010-01-09,98.36,100.44,92.44,96.14,136200348
2010-01-10,102.45,103.15,98.64,101.25,201625910
2010-01-11,102.28,102.66,101.79,102.65,116753962
2010-01-12,104.02,104.12,102.45,104.0,76497828
2010-01-13,104.46,107.53,103.73,104.3,94806182
2010-01-14,101.87,103.59,101.44,103.09,99262642
2010-01-15,105.38,105.5,101.79,104.5,97462939
2010-01-16,107.91,108.79,104.29,107.83,92914709
2010-01-17,107.54,107.9,105.59,106.75,161021863
2010-01-18,106.35,106.92,104.43,106.85,134969181
2010-01-19,107.1,108.61,104.52,106.69,105957441
2010-01-20,106.38,107.95,105.35,106.08,91754591
2010-01-21,108.13,109.97,107.7,109.2,104738824
2010-01-22,105.32,107.91,104.74,105.66,132668756
2010-01-23,106.54,107.76,106.51,106.98,68899268
2010-01-24,109.38,109.73,106.79,107.38,125634219
2010-01-25,106.94,109.06,106.6,107.1,136966256
2010-01-26,103.07,106.51,102.45,104.84,68290431
2010-01-27,104.34,107.97,103.39,105.28,133899393
2010-01-28,107.88,108.27,106.92,107.5,87911133
2010-01-29,108.87,110.56,108.53,108.82,147087469
2010-01-30,105.89,110.19,104.32,109.14,112673520
2010-01-31,102.63,109.49,102.16,106.24,98991589
2010-02-01,107.12,111.85,104.66,107.11,102082127
2010-02-02,112.22,112.36,107.24,110.38,155428788
2010-02-03,112.91,116.28,112.31,113.9,105592729
2010-02-04,114.51,119.3,112.99,116.81,161090783
2010-02-05,120.12,120.44,116.8,117.75,158829999
2010-02-06,114.8,121.05,113.82,119.52,107293161
2010-02-07,114.85,117.48,113.63,116.5,161991888
2010-02-08,120.92,123.37,120.3,120.49,126162053
2010-02-09,120.35,122.27,119.61,119.86,129964179
2010-02-10,117.84,121.41,115.82,118.02,146673783
2010-02-11,119.03,121.94,117.79,119.27,125490236
2010-02-12,118.59,119.02,117.65,118.18,69088480
2010-02-13,115.28,115.98,111.5,113.36,99146744
2010-02-14,111.27,115.66,110.75,111.68,60979814
2010-02-15,111.77,112.44,109.11,109.86,87988683
2010-02-16,112.77,115.01,111.97,112.06,172199663
2010-02-17,114.69,115.02,114.4,114.47,93114674
2010-02-18,115.22,115.4,112.77,115.31,130695940
2010-02-19,114.44,114.88,114.2,114.42,126782913
2010-02-20,110.5,110.9,110.11,110.5,86840454
2010-02-21,104.69,105.83,104.03,105.0,212633402
2010-02-22,108.39,108.96,103.97,106.91,112332319
2010-02-23,102.61,105.09,101.91,104.13,145476502
2010-02-24,104.01,104.31,103.83,104.22,86535612
2010-02-25,105.72,109.26,103.49,106.96,113514484
2010-02-26,106.3,106.38,106.02,106.13,87219599
2010-02-27,108.72,110.2,105.32,107.86,172848153
2010-02-28,103.29,105.6,102.78,105.0,110034061
2010-03-01,99.53,101.98,99.51,101.12,173782791
2010-03-02,97.67,97.88,96.94,97.0,143834216
2010-03-03,94.49,94.91,92.65,94.01,83642066
2010-03-04,95.14,96.53,92.86,94.88,158334834
2010-03-05,95.8,99.58,92.1,97.5,108680101
2010-03-06,99.92,101.19,97.43,99.33,65037744
2010-03-07,96.84,97.42,96.51,97.05,141620103
2010-03-08,97.93,98.95,96.43,97.58,123437181
2010-03-09,95.93,96.13,95.12,95.44,149681692
2010-03-10,94.98,95.08,94.52,94.88,80188764
2010-03-11,92.53,96.14,87.66,92.36,124744320
2010-03-12,90.97,93.32,89.19,93.17,95229679
2010-03-13,92.27,92.44,91.66,91.97,124644221
2010-03-14,95.15,95.16,90.69,92.77,111495915
2010-03-15,88.43,93.1,87.58,92.32,145070552
2010-03-16,92.07,94.34,90.37,92.62,118509297
2010-03-17,92.6,92.77,92.03,92.33,94774797
2010-03-18,94.92,95.38,94.74,95.0,85678914
2010-03-19,93.76,94.58,92.9,93.41,149323238
2010-03-20,96.75,97.51,95.46,96.07,117843300
2010-03-21,96.96,97.63,96.35,96.57,100836628
2010-03-22,101.4,102.3,97.46,99.36,188872205
2010-03-23,96.96,98.62,96.07,97.4,154153696
2010-03-24,99.59,104.85,94.51,98.38,150767453
2010-03-25,101.15,101.24,100.75,100.92,113607469
2010-03-26,100.98,105.05,100.87,100.95,56477810
2010-03-27,99.82,100.93,99.55,100.7,126826446
2010-03-28,103.37,103.38,102.04,102.63,163355132
2010-03-29,105.72,106.19,102.58,103.99,145225956
2010-03-30,101.38,103.74,100.85,103.11,117961481
2010-03-31,103.34,108.17,103.22,103.26,120650523
2010-04-01,100.58,102.01,99.21,100.94,109122206
2010-04-02,97.03,98.45,96.2,98.35,177922977
2010-04-03,100.06,101.98,98.67,100.86,132747141
2010-04-04,103.1,104.71,102.82,103.39,133796218
2010-04-05,100.71,104.45,100.33,102.93,59126820
2010-04-06,105.48,106.66,104.82,105.47,108819904
2010-04-07,103.56,106.89,103.48,105.22,64356878
2010-04-08,101.87,102.9,101.79,102.76,69728483
2010-04-09,105.95,107.05,104.8,105.62,92999003
2010-04-10,103.57,103.94,102.46,103.28,123547079
2010-04-11,104.85,105.02,104.15,104.46,81769260
2010-04-12,108.37,110.75,107.26,107.33,135813446
2010-04-13,110.64,111.04,110.5,110.61,131597369
2010-04-14,109.58,109.91,105.27,107.86,175252619
2010-04-15,106.97,110.13,103.96,107.69,103973852
2010-04-16,102.73,105.68,102.53,103.79,92279316
2010-04-17,101.79,103.36,99.89,101.26,153983385
2010-04-18,101.26,102.98,99.52,102.72,144820625
2010-04-19,101.96,104.68,101.53,102.22,81258364
2010-04-20,106.17,107.39,104.79,106.25,196832184
2010-04-21,106.54,106.68,105.65,105.95,143906027
2010-04-22,105.78,110.64,103.53,105.87,95213056
2010-04-23,110.12,111.09,109.57,110.57,116135578
2010-04-24,113.47,113.51,108.64,110.1,143214063
2010-04-25,108.65,110.7,108.44,108.65,150771011
2010-04-26,104.89,105.85,104.2,104.35,153841068
2010-04-27,106.44,107.14,104.72,104.93,112819289
2010-04-28,110.42,111.73,106.89,107.88,82256998
2010-04-29,111.53,112.27,108.2,109.34,126875913
2010-04-30,109.57,112.34,109.23,110.48,151264866
2010-05-01,110.95,113.9,109.33,112.59,148243215
2010-05-02,110.83,113.11,109.38,110.46,117193267
2010-05-03,108.75,109.48,107.51,108.55,79902821
2010-05-04,113.25,114.57,111.54,111.94,127528395
2010-05-05,114.49,114.93,113.17,113.62,59628335
2010-05-06,109.95,112.24,109.92,110.3,114502669
2010-05-07,110.8,111.23,108.56,110.3,87867686
2010-05-08,114.12,114.47,112.94,113.01,126195180
2010-05-09,111.26,115.66,109.01,112.37,78270756
2010-05-10,113.38,114.27,112.32,113.66,134229147
2010-05-11,111.75,114.43,110.84,112.31,70453797
2010-05-12,115.17,117.93,112.31,113.64,147367358
2010-05-13,114.09,115.44,112.19,113.82,93434949
2010-05-14,112.15,113.5,111.8,111.97,122864493
2010-05-15,113.57,113.81,111.85,113.38,97322850
2010-05-16,115.15,115.37,114.93,115.28,167410343
2010-05-17,115.45,116.21,114.78,116.19,101703413
2010-05-18,114.18,115.97,111.46,113.94,154671094
2010-05-19,112.66,116.95,111.79,115.57,156717323
2010-05-20,120.33,120.42,114.16,115.94,97024294
2010-05-21,113.69,114.08,113.06,113.5,85689291
2010-05-22,114.93,116.64,108.82,112.54,153675971
2010-05-23,113.59,116.3,112.97,115.36,183313489
2010-05-24,112.66,115.07,110.98,114.23,116661093
2010-05-25,116.62,117.14,116.31,116.88,158093699
2010-05-26,117.76,120.47,113.48,117.24,133987897
2010-05-27,122.46,123.91,120.17,120.28,124951813
2010-05-28,117.41,117.51,116.98,117.0,103541736
2010-05-29,114.21,115.0,112.85,114.51,156241966
2010-05-30,111.1,114.88,109.38,113.22,66711287
2010-05-31,115.03,115.37,111.5,114.39,150171076
2010-06-01,114.96,115.56,112.07,112.66,137276099
2010-06-02,110.89,112.61,109.17,111.29,135686052
2010-06-03,110.94,116.49,109.27,112.59,72282605
2010-06-04,115.68,117.41,112.31,115.22,127751590
2010-06-05,114.25,114.28,111.78,112.81,170278813
2010-06-06,114.69,115.16,113.26,113.94,129889313
2010-06-07,113.78,118.13,111.78,115.02,104348457
2010-06-08,113.64,117.54,111.17,115.34,92545987
2010-06-09,119.12,119.44,116.11,118.13,96005246
2010-06-10,116.37,116.54,115.34,115.66,60574925
2010-06-11,114.23,114.29,113.98,114.23,91464074
2010-06-12,113.56,114.75,110.78,113.72,136281659
2010-06-13,117.57,119.34,116.45,116.69,151556820
2010-06-14,117.52,118.65,117.34,118.09,82034763
2010-06-15,120.52,120.77,120.29,120.63,80342150
2010-06-16,122.89,123.15,121.44,122.57,121215464
2010-06-17,122.37,122.44,122.21,122.43,80735572
2010-06-18,123.61,124.73,123.34,124.36,82540967
2010-06-19,124.8,124.86,122.61,123.71,62796554
2010-06-20,122.23,125.15,120.81,123.06,96928950
2010-06-21,123.51,125.18,122.58,122.73,142023750
2010-06-22,124.49,126.58,122.07,122.73,78298815
2010-06-23,119.26,120.52,119.01,120.18,145143439
2010-06-24,118.89,120.92,116.8,118.83,67900970
2010-06-25,119.35,121.33,117.47,117.53,164420656
2010-06-26,118.15,119.82,113.93,117.72,146332561
2010-06-27,113.48,116.68,113.44,116.47,162842366
2010-06-28,125.59,126.3,122.25,122.42,102934337
2010-06-29,122.7,123.53,118.9,121.64,107501944
2010-06-30,124.26,124.75,121.01,123.23,77855649
2010-07-01,123.67,125.55,122.36,124.28,139017986
2010-07-02,125.11,125.67,123.53,123.86,103726750
2010-07-03,122.75,124.14,119.59,123.07,102174145
2010-07-04,122.2,128.29,119.83,124.51,139294460
2010-07-05,120.97,122.44,116.01,120.73,138345463
2010-07-06,124.36,126.46,123.81,124.18,148411835
2010-07-07,119.63,121.32,119.14,121.16,72855185
2010-07-08,119.95,125.02,116.96,122.09,118881886
2010-07-09,122.84,122.84,121.07,122.6,128104161
2010-07-10,116.95,121.77,116.75,119.85,135808769
2010-07-11,123.96,128.55,120.47,123.91,171001587
2010-07-12,125.29,126.66,124.34,125.72,84865691
2010-07-13,124.35,125.23,124.27,124.96,109922953
2010-07-14,126.39,127.18,126.06,127.16,118859400
2010-07-15,132.93,133.56,127.07,129.08,157644809
2010-07-16,124.29,125.63,122.15,124.69,123359959
2010-07-17,124.69,124.76,124.03,124.21,57452999
2010-07-18,120.09,120.49,117.77,119.04,202167709
2010-07-19,116.02,118.8,114.76,115.96,167484666
2010-07-20,114.42,119.9,114.12,115.64,144983306
2010-07-21,116.48,118.69,115.38,116.75,112039839
2010-07-22,120.98,121.04,118.62,119.39,144555304
2010-07-23,123.98,125.12,122.97,123.88,127243642
2010-07-24,127.37,128.58,123.68,128.01,92881343
2010-07-25,126.65,131.16,125.04,127.14,70446465
2010-07-26,124.95,131.31,116.38,128.25,71351455
2010-07-27,125.53,130.26,124.24,129.69,67371861
2010-07-28,126.32,128.31,122.94,127.11,120346891
2010-07-29,129.64,131.22,124.8,129.08,144469909
2010-07-30,121.17,123.3,121.1,123.2,191324502
2010-07-31,126.28,129.11,124.97,128.3,181468015
2010-08-01,131.65,131.97,126.96,128.09,118550320
2010-08-02,130.46,134.65,130.02,130.64,123138499
2010-08-03,127.92,128.52,126.87,128.09,176850800
2010-08-04,131.02,131.45,129.85,130.02,94382841
2010-08-05,135.33,135.67,135.15,135.4,135070930
2010-08-06,137.34,139.02,135.18,137.7,61610161
2010-08-07,141.47,142.19,139.37,141.93,94517890
2010-08-08,134.13,137.09,133.97,136.25,109967638
2010-08-09,139.57,140.35,139.12,139.59,133023740
2010-08-10,139.63,143.96,136.32,141.59,117035731
2010-08-11,142.72,142.95,142.23,142.42,53085609
2010-08-12,144.7,147.23,142.27,143.75,110554645
2010-08-13,147.86,153.71,145.25,150.69,158792029
2010-08-14,147.34,147.45,146.04,147.38,134252350
2010-08-15,144.93,148.08,133.51,142.46,141146013
2010-08-16,143.88,147.37,140.28,140.56,155253144
2010-08-17,140.67,140.79,139.69,139.71,118039758
2010-08-18,144.12,145.79,141.71,143.12,144567793
2010-08-19,143.59,143.62,137.51,139.8,101230632
2010-08-20,136.97,137.57,133.86,137.34,147457547
2010-08-21,139.85,141.57,135.58,136.97,91686532
2010-08-22,137.59,140.41,136.69,136.84,110562096
2010-08-23,135.74,137.14,135.6,136.9,140173703
2010-08-24,139.23,139.57,137.33,139.2,153917106
2010-08-25,139.74,145.91,138.77,143.73,112269699
2010-08-26,146.88,148.98,145.85,148.77,84827867
2010-08-27,152.91,156.49,146.05,151.56,101065739
2010-08-28,150.29,150.75,148.07,149.46,73547267
2010-08-29,139.99,149.11,138.41,146.89,72790287
2010-08-30,148.56,149.02,145.61,147.3,127237076
2010-08-31,146.13,150.56,142.49,146.1,153267511
2010-09-01,152.12,152.36,148.05,151.39,122478302
2010-09-02,149.22,149.66,143.39,144.87,155011237
2010-09-03,141.8,142.77,140.73,142.67,136680147
2010-09-04,146.26,148.21,144.67,146.47,88218206
2010-09-05,144.66,148.63,143.16,146.19,51915146
2010-09-06,147.12,148.39,146.56,146.84,119585036
2010-09-07,147.94,149.92,143.42,146.86,116267273
2010-09-08,145.73,146.8,142.35,145.61,109547071
2010-09-09,148.65,151.51,147.3,147.91,152302601
2010-09-10,147.05,147.98,146.9,147.1,85996667
2010-09-11,154.41,154.68,150.78,152.77,126621159
2010-09-12,146.53,154.09,144.51,151.14,101612697
2010-09-13,149.78,153.51,148.98,151.32,125578171
2010-09-14,157.6,159.45,152.27,153.61,60258698
2010-09-15,157.43,159.39,155.04,155.14,156494764
2010-09-16,160.33,161.51,158.73,159.3,185328118
2010-09-17,158.09,160.55,154.05,158.2,128488764
2010-09-18,160.3,160.96,158.93,160.59,96911831
2010-09-19,161.21,162.13,158.13,161.41,102246890
2010-09-20,155.1,155.58,154.33,154.79,162708715
2010-09-21,154.84,166.01,153.39,159.73,140943409
2010-09-22,166.91,167.32,163.92,166.55,208646085
2010-09-23,173.8,174.2,167.7,169.24,113033130
