Date,Open,High,Low,Close,Volume
2010-01-01,301.23,303.37,300.66,302.71,78800921
2010-01-02,295.51,296.68,294.2,295.91,128346628
2010-01-03,295.19,295.39,287.9,294.3,92476857
2010-01-04,290.48,295.1,290.25,291.52,86694858
2010-01-05,292.73,292.95,291.13,291.95,126982672
2010-01-06,289.31,293.59,285.05,291.45,76547125
2010-01-07,284.27,285.77,282.01,283.2,99046969
2010-01-08,291.19,294.29,289.1,289.73,116852914
2010-01-09,297.99,300.83,296.54,297.04,166262758
2010-01-10,298.67,299.94,298.58,299.0,151246285
2010-01-11,300.39,302.16,299.84,301.31,93876854
2010-01-12,298.79,301.99,296.77,300.89,150422629
2010-01-13,301.82,302.88,299.5,300.73,78012494
2010-01-14,297.03,300.72,290.48,298.53,146221738
2010-01-15,298.63,305.01,296.12,301.43,112897808
2010-01-16,301.92,303.08,298.66,300.25,58928031
2010-01-17,302.05,304.22,300.32,302.54,105789524
2010-01-18,303.95,305.12,301.09,303.83,105811703
2010-01-19,307.51,312.62,304.45,308.11,147521693
2010-01-20,313.12,314.4,310.06,313.08,124638633
2010-01-21,298.02,310.36,296.61,309.07,103999875
2010-01-22,313.11,318.49,312.66,315.46,124404006
2010-01-23,315.23,316.33,313.33,315.64,135365320
2010-01-24,309.14,316.55,300.23,313.67,78421929
2010-01-25,311.48,315.16,310.24,314.25,126297044
2010-01-26,313.72,318.1,308.7,310.72,76003755
2010-01-27,314.55,318.32,314.22,315.65,158007521
2010-01-28,321.17,321.83,318.01,319.03,162716033
2010-01-29,317.56,326.35,317.38,320.71,81289429
2010-01-30,315.91,323.14,313.13,319.14,72077323
2010-01-31,323.29,325.2,317.32,322.45,85565377
2010-02-01,322.85,324.59,321.8,323.8,108248037
2010-02-02,329.67,329.85,325.33,325.33,125804955
2010-02-03,327.12,329.08,326.82,328.03,104801707
2010-02-04,329.2,330.63,327.99,330.36,61619540
2010-02-05,330.11,330.35,328.65,328.74,72456551
2010-02-06,331.89,335.0,323.01,324.8,81908540
2010-02-07,327.53,327.83,323.85,324.1,114455125
2010-02-08,315.45,317.37,314.5,316.37,93755655
2010-02-09,314.6,317.68,312.24,315.71,108841518
2010-02-10,317.78,322.33,316.64,316.96,56148015
2010-02-11,322.43,325.49,317.19,319.63,119826908
2010-02-12,322.22,330.87,317.46,319.98,79684110
2010-02-13,322.98,324.86,316.51,322.52,54264304
2010-02-14,315.1,322.46,315.02,320.04,156980962
2010-02-15,325.29,325.92,321.6,322.69,128737294
2010-02-16,322.65,322.86,322.19,322.57,71705453
2010-02-17,318.61,328.67,315.6,321.53,147843851
2010-02-18,331.17,337.47,325.4,326.68,165838679
2010-02-19,329.38,337.17,319.88,327.29,121443038
2010-02-20,327.28,328.15,325.32,326.46,133944999
2010-02-21,324.81,327.02,322.97,323.33,132722757
2010-02-22,321.39,321.89,320.25,321.15,121788560
2010-02-23,313.46,318.6,312.55,318.01,148497028
2010-02-24,312.31,314.32,312.15,313.02,123085675
2010-02-25,309.78,310.97,306.81,307.97,161313067
2010-02-26,308.98,311.47,307.05,310.47,95974599
2010-02-27,314.56,315.28,310.45,310.77,108335481
2010-02-28,307.94,310.82,307.45,307.83,105246228
2010-03-01,301.65,302.59,300.52,301.92,87180598
2010-03-02,300.88,302.06,298.8,301.98,71268128
2010-03-03,305.09,306.42,301.37,302.81,93745838
2010-03-04,295.18,299.83,294.95,296.7,82408467
2010-03-05,311.19,312.17,306.43,307.78,183405220
2010-03-06,310.69,312.67,309.25,309.48,64494249
2010-03-07,310.88,316.61,308.53,313.06,148572325
2010-03-08,314.92,320.45,309.95,311.72,85814014
2010-03-09,319.88,322.8,319.44,321.6,93529877
2010-03-10,317.71,320.88,316.68,317.91,110103240
2010-03-11,325.29,331.98,317.77,320.96,140816131
2010-03-12,311.74,316.54,309.49,316.24,78961363
2010-03-13,312.08,313.56,309.79,311.29,119196826
2010-03-14,311.76,315.21,308.41,313.63,116032510
2010-03-15,312.75,316.18,307.22,310.81,102160832
2010-03-16,310.96,312.62,309.68,311.01,91997708
2010-03-17,318.74,320.62,309.59,313.28,156228956
2010-03-18,308.23,311.76,307.4,310.74,70396503
2010-03-19,314.75,314.89,311.84,313.6,97503718
2010-03-20,317.82,319.75,310.37,315.51,152792660
2010-03-21,313.67,315.6,312.52,313.54,84466056
2010-03-22,312.15,313.43,311.27,312.44,132536228
2010-03-23,305.83,314.41,304.15,309.27,86773021
2010-03-24,299.72,305.03,296.19,302.07,179199966
2010-03-25,302.25,304.65,297.74,299.86,154588001
2010-03-26,294.46,298.38,293.08,294.45,101800207
2010-03-27,296.84,297.79,292.05,296.67,58696917
2010-03-28,297.96,301.64,296.82,298.49,83749102
2010-03-29,297.41,301.14,296.27,297.14,136945226
2010-03-30,298.59,298.62,294.61,295.38,73859765
2010-03-31,295.6,298.37,294.62,295.6,69558873
2010-04-01,296.69,298.41,293.08,298.12,161555803
2010-04-02,302.52,307.07,301.21,302.98,149843994
2010-04-03,303.02,308.53,298.03,305.54,57157613
2010-04-04,299.62,303.14,295.7,297.3,64976434
2010-04-05,297.96,308.31,296.54,302.91,106216680
2010-04-06,301.92,303.58,301.7,301.94,97416011
2010-04-07,297.84,300.79,292.1,299.95,107716187
2010-04-08,297.62,304.05,295.75,299.66,126846279
2010-04-09,300.26,302.28,296.45,302.14,121958455
2010-04-10,310.36,311.37,308.27,309.21,161033860
2010-04-11,314.45,314.68,311.03,312.15,67209771
2010-04-12,319.0,322.11,318.98,321.52,149868664
2010-04-13,321.28,325.26,317.69,324.25,122987214
2010-04-14,320.88,322.46,319.99,321.99,149193596
2010-04-15,323.84,324.45,323.41,324.2,77916900
2010-04-16,329.79,329.84,324.12,329.58,119142308
2010-04-17,322.97,327.73,320.05,327.59,153237248
2010-04-18,335.92,341.6,335.79,336.39,180881610
2010-04-19,336.73,338.27,330.38,337.4,64889615
2010-04-20,346.02,347.45,345.94,345.99,156268764
2010-04-21,344.33,344.38,339.7,343.05,91837340
2010-04-22,329.36,333.95,327.69,331.24,144089533
2010-04-23,332.16,332.76,330.33,330.49,127641444
2010-04-24,323.95,329.62,319.32,324.22,118389026
2010-04-25,327.04,338.33,316.67,327.72,60321836
2010-04-26,322.23,326.66,314.0,324.44,148179916
2010-04-27,331.44,332.8,326.97,327.66,81760651
2010-04-28,339.44,340.42,334.0,334.58,132365176
2010-04-29,332.55,338.8,328.98,336.02,103673409
2010-04-30,334.64,338.91,331.43,335.12,69864400
2010-05-01,333.39,335.64,333.02,334.72,73022972
2010-05-02,335.7,335.71,330.52,331.49,110019434
2010-05-03,330.79,331.61,327.24,328.92,88192975
2010-05-04,331.95,333.33,312.07,323.13,119022237
2010-05-05,313.9,321.72,313.1,315.51,136198391
2010-05-06,317.72,324.08,309.86,319.94,92998714
2010-05-07,320.22,325.84,319.48,320.02,90036475
2010-05-08,318.17,320.63,313.0,315.12,135624195
2010-05-09,315.04,317.49,315.03,316.42,89589588
2010-05-10,311.33,316.75,307.1,313.25,138306830
2010-05-11,309.54,310.92,306.68,308.95,127023994
2010-05-12,312.64,322.33,301.9,311.78,109110871
2010-05-13,310.89,316.82,306.34,309.42,135229838
2010-05-14,320.03,322.9,315.18,317.03,167871981
2010-05-15,316.63,317.4,313.31,313.79,104328273
2010-05-16,311.34,323.87,310.38,317.35,122993438
2010-05-17,309.94,310.52,306.87,308.24,136679949
2010-05-18,304.16,308.33,300.09,307.31,136057601
2010-05-19,311.09,311.59,309.39,310.74,67082270
2010-05-20,308.04,308.75,307.39,307.85,84048969
2010-05-21,304.99,306.95,302.38,305.39,75648088
2010-05-22,309.13,310.62,300.78,303.24,124932623
2010-05-23,303.64,306.55,292.52,299.71,88566487
2010-05-24,298.05,309.22,297.1,299.06,116133439
2010-05-25,303.24,303.43,295.58,301.36,126250914
2010-05-26,304.81,305.89,297.22,298.06,104276673
2010-05-27,298.47,299.03,297.6,298.43,58308180
