Date,Open,High,Low,Close,Volume
2010-01-01,80.84,81.11,80.32,80.47,95993085
2010-01-02,81.4,81.58,80.98,81.08,117224373
2010-01-03,80.06,80.85,79.38,79.73,64970782
2010-01-04,80.0,80.94,79.56,80.26,104625954
2010-01-05,78.6,79.39,77.66,79.02,135376580
2010-01-06,77.66,78.05,77.59,77.94,122657872
2010-01-07,78.03,78.5,77.95,78.09,144770184
2010-01-08,77.43,79.76,76.59,78.59,146183467
2010-01-09,77.36,78.3,76.87,77.7,143022910
2010-01-10,78.78,78.93,77.69,78.88,169673042
2010-01-11,79.18,79.41,78.78,78.97,51070620
2010-01-12,79.58,79.71,79.1,79.47,121376842
2010-01-13,79.3,81.67,79.0,80.45,95819114
2010-01-14,79.3,79.73,79.06,79.32,120061207
2010-01-15,77.64,78.28,77.22,78.26,70607344
2010-01-16,78.32,78.56,78.2,78.24,66866339
2010-01-17,77.23,78.13,76.57,77.88,69260805
2010-01-18,77.73,78.7,77.3,77.59,76339070
2010-01-19,77.76,78.51,76.51,77.62,143948843
2010-01-20,77.35,78.73,76.49,77.48,102146731
2010-01-21,78.18,78.4,77.07,77.39,111740040
2010-01-22,76.56,77.37,76.13,77.05,131572250
2010-01-23,78.01,78.5,77.79,78.12,77954302
2010-01-24,77.25,77.83,76.6,77.28,147460725
2010-01-25,77.83,78.09,77.32,77.82,152837433
2010-01-26,78.91,79.6,78.75,79.29,123051133
2010-01-27,78.03,78.98,77.94,78.98,97003771
2010-01-28,79.55,79.77,79.47,79.66,62705004
2010-01-29,81.01,81.04,80.29,80.44,62347868
2010-01-30,80.54,81.12,80.16,80.66,136254120
2010-01-31,77.97,78.6,77.12,78.06,82485744
2010-02-01,78.54,79.25,78.49,78.55,72520050
2010-02-02,78.54,78.62,78.3,78.58,143178999
2010-02-03,79.49,79.52,77.34,78.76,117126617
2010-02-04,79.07,79.59,78.65,79.05,120748521
2010-02-05,77.67,78.3,76.66,77.83,58185439
2010-02-06,78.02,79.11,76.66,78.76,90570205
2010-02-07,78.84,79.95,78.27,78.86,108671575
2010-02-08,79.03,79.18,78.62,78.78,115714568
2010-02-09,78.44,79.13,78.34,78.55,113025847
2010-02-10,78.33,78.42,77.57,78.3,115021628
2010-02-11,78.65,80.18,78.33,79.09,113933423
