Date,Open,High,Low,Close,Volume
2023-01-03,320.50,325.80,318.20,322.40,4850000
2023-01-04,322.40,324.60,315.80,318.20,5120000
2023-01-05,318.20,320.40,312.50,314.80,5380000
2023-01-06,314.80,317.20,308.90,311.50,5650000
2023-01-09,311.50,313.80,305.20,308.20,5920000
2023-01-10,308.20,310.50,301.80,304.90,6180000
2023-01-11,304.90,307.20,298.50,301.60,6450000
2023-01-12,301.60,303.90,295.20,298.30,6720000
2023-01-13,298.30,300.60,291.90,295.00,6980000
2023-01-17,295.00,297.30,288.60,291.70,7250000
2023-01-18,291.70,294.00,285.30,288.40,7520000
2023-01-19,288.40,290.70,282.00,285.10,7780000
2023-01-20,285.10,287.40,278.70,281.80,8050000
2023-01-23,281.80,284.10,275.40,278.50,8320000
2023-01-24,278.50,280.80,272.10,275.20,8580000
2023-01-25,275.20,277.50,268.80,271.90,8850000
2023-01-26,271.90,274.20,265.50,268.60,9120000
2023-01-27,268.60,270.90,262.20,265.30,9380000
2023-01-30,265.30,267.60,258.90,262.00,9650000
2023-01-31,262.00,264.30,255.60,258.70,9920000
2023-02-01,258.70,261.00,252.30,255.40,10180000
2023-02-02,255.40,257.70,249.00,252.10,10450000
2023-02-03,252.10,254.40,245.70,248.80,10720000
2023-02-06,248.80,251.10,242.40,245.50,10980000
2023-02-07,245.50,247.80,239.10,242.20,11250000
2023-02-08,242.20,244.50,235.80,238.90,11520000
2023-02-09,238.90,241.20,232.50,235.60,11780000
2023-02-10,235.60,237.90,229.20,232.30,12050000
2023-02-13,232.30,234.60,225.90,229.00,12320000
2023-02-14,229.00,231.30,222.60,225.70,12580000
2023-02-15,225.70,228.00,219.30,222.40,12850000
2023-02-16,222.40,224.70,216.00,219.10,13120000
2023-02-17,219.10,221.40,212.70,215.80,13380000
2023-02-21,215.80,218.10,209.40,212.50,13650000
2023-02-22,212.50,214.80,206.10,209.20,13920000
2023-02-23,209.20,211.50,202.80,205.90,14180000
2023-02-24,205.90,208.20,199.50,202.60,14450000
2023-02-27,202.60,204.90,196.20,199.30,14720000
2023-02-28,199.30,201.60,192.90,196.00,14980000
2023-03-01,196.00,198.30,189.60,192.70,15250000
2023-03-02,192.70,195.00,186.30,189.40,15520000
2023-03-03,189.40,191.70,183.00,186.10,15780000
2023-03-06,186.10,188.40,179.70,182.80,16050000
2023-03-07,182.80,185.10,176.40,179.50,16320000
2023-03-08,179.50,181.80,173.10,176.20,16580000
2023-03-09,176.20,178.50,169.80,172.90,16850000
2023-03-10,172.90,175.20,166.50,169.60,17120000
2023-03-13,169.60,171.90,163.20,166.30,17380000
2023-03-14,166.30,168.60,159.90,163.00,17650000
2023-03-15,163.00,165.30,156.60,159.70,17920000
