Date,Open,High,Low,Close,Volume
2023-01-03,52.30,53.80,51.50,53.20,3250000
2023-01-04,53.20,54.90,52.40,54.50,3420000
2023-01-05,54.50,56.20,53.70,55.80,3580000
2023-01-06,55.80,57.50,55.00,57.10,3750000
2023-01-09,57.10,58.80,56.30,58.40,3920000
2023-01-10,58.40,60.10,57.60,59.70,4080000
2023-01-11,59.70,61.40,58.90,61.00,4250000
2023-01-12,61.00,62.70,60.20,62.30,4420000
2023-01-13,62.30,64.00,61.50,63.60,4580000
2023-01-17,63.60,65.30,62.80,64.90,4750000
2023-01-18,64.90,66.60,64.10,66.20,4920000
2023-01-19,66.20,67.90,65.40,67.50,5080000
2023-01-20,67.50,69.20,66.70,68.80,5250000
2023-01-23,68.80,70.50,68.00,70.10,5420000
2023-01-24,70.10,71.80,69.30,71.40,5580000
2023-01-25,71.40,73.10,70.60,72.70,5750000
2023-01-26,72.70,74.40,71.90,74.00,5920000
2023-01-27,74.00,75.70,73.20,75.30,6080000
2023-01-30,75.30,77.00,74.50,76.60,6250000
2023-01-31,76.60,78.30,75.80,77.90,6420000
2023-02-01,77.90,79.60,77.10,79.20,6580000
2023-02-02,79.20,80.90,78.40,80.50,6750000
2023-02-03,80.50,82.20,79.70,81.80,6920000
2023-02-06,81.80,83.50,81.00,83.10,7080000
2023-02-07,83.10,84.80,82.30,84.40,7250000
2023-02-08,84.40,86.10,83.60,85.70,7420000
2023-02-09,85.70,87.40,84.90,87.00,7580000
2023-02-10,87.00,88.70,86.20,88.30,7750000
2023-02-13,88.30,90.00,87.50,89.60,7920000
2023-02-14,89.60,91.30,88.80,90.90,8080000
2023-02-15,90.90,92.60,90.10,92.20,8250000
2023-02-16,92.20,93.90,91.40,93.50,8420000
2023-02-17,93.50,95.20,92.70,94.80,8580000
2023-02-21,94.80,96.50,94.00,96.10,8750000
2023-02-22,96.10,97.80,95.30,97.40,8920000
2023-02-23,97.40,99.10,96.60,98.70,9080000
2023-02-24,98.70,100.40,97.90,100.00,9250000
2023-02-27,100.00,101.70,99.20,101.30,9420000
2023-02-28,101.30,103.00,100.50,102.60,9580000
2023-03-01,102.60,104.30,101.80,103.90,9750000
2023-03-02,103.90,105.60,103.10,105.20,9920000
2023-03-03,105.20,106.90,104.40,106.50,10080000
2023-03-06,106.50,108.20,105.70,107.80,10250000
2023-03-07,107.80,109.50,107.00,109.10,10420000
2023-03-08,109.10,110.80,108.30,110.40,10580000
2023-03-09,110.40,112.10,109.60,111.70,10750000
2023-03-10,111.70,113.40,110.90,113.00,10920000
2023-03-13,113.00,114.70,112.20,114.30,11080000
2023-03-14,114.30,116.00,113.50,115.60,11250000
2023-03-15,115.60,117.30,114.80,116.90,11420000
