Date,Open,High,Low,Close,Volume
2023-01-03,145.50,148.20,144.80,147.90,2850000
2023-01-04,148.00,150.30,147.50,149.80,3120000
2023-01-05,149.90,151.40,148.60,150.20,2980000
2023-01-06,150.30,152.80,149.90,152.40,3250000
2023-01-09,152.50,154.20,151.80,153.60,3180000
2023-01-10,153.70,155.90,153.20,155.30,3420000
2023-01-11,155.40,157.60,154.80,156.90,3580000
2023-01-12,157.00,158.40,156.20,157.80,3340000
2023-01-13,157.90,159.70,157.30,159.20,3490000
2023-01-17,159.30,161.50,158.80,160.90,3650000
2023-01-18,161.00,162.80,160.40,162.30,3720000
2023-01-19,162.40,164.20,161.80,163.50,3890000
2023-01-20,163.60,165.40,162.90,164.80,3950000
2023-01-23,164.90,166.70,164.20,166.10,4020000
2023-01-24,166.20,168.50,165.60,167.90,4180000
2023-01-25,168.00,169.80,167.30,169.20,4250000
2023-01-26,169.30,171.20,168.70,170.50,4380000
2023-01-27,170.60,172.40,169.90,171.80,4420000
2023-01-30,171.90,173.60,171.20,172.90,4550000
2023-01-31,173.00,174.80,172.40,174.20,4680000
2023-02-01,174.30,176.10,173.70,175.50,4750000
2023-02-02,175.60,177.40,175.00,176.80,4820000
2023-02-03,176.90,178.70,176.30,178.10,4950000
2023-02-06,178.20,180.00,177.60,179.40,5080000
2023-02-07,179.50,181.30,178.90,180.70,5150000
2023-02-08,180.80,182.60,180.20,182.00,5280000
2023-02-09,182.10,183.90,181.50,183.30,5350000
2023-02-10,183.40,185.20,182.80,184.60,5480000
2023-02-13,184.70,186.50,184.10,185.90,5550000
2023-02-14,186.00,187.80,185.40,187.20,5680000
2023-02-15,187.30,189.10,186.70,188.50,5750000
2023-02-16,188.60,190.40,188.00,189.80,5880000
2023-02-17,189.90,191.70,189.30,191.10,5950000
2023-02-21,191.20,193.00,190.60,192.40,6080000
2023-02-22,192.50,194.30,191.90,193.70,6150000
2023-02-23,193.80,195.60,193.20,195.00,6280000
2023-02-24,195.10,196.90,194.50,196.30,6350000
2023-02-27,196.40,198.20,195.80,197.60,6480000
2023-02-28,197.70,199.50,197.10,198.90,6550000
2023-03-01,199.00,200.80,198.40,200.20,6680000
2023-03-02,200.30,202.10,199.70,201.50,6750000
2023-03-03,201.60,203.40,201.00,202.80,6880000
2023-03-06,202.90,204.70,202.30,204.10,6950000
2023-03-07,204.20,206.00,203.60,205.40,7080000
2023-03-08,205.50,207.30,204.90,206.70,7150000
2023-03-09,206.80,208.60,206.20,208.00,7280000
2023-03-10,208.10,209.90,207.50,209.30,7350000
2023-03-13,209.40,211.20,208.80,210.60,7480000
2023-03-14,210.70,212.50,210.10,211.90,7550000
2023-03-15,212.00,213.80,211.40,213.20,7680000
