Date,Open,High,Low,Close,Volume
2023-01-03,42500,44200,41800,43900,8500000
2023-01-04,43900,45600,42700,44800,9200000
2023-01-05,44800,46200,43500,45100,8900000
2023-01-06,45100,47800,44200,46500,10500000
2023-01-09,46500,48900,45300,47200,11200000
2023-01-10,47200,49500,46100,48800,10800000
2023-01-11,48800,51200,47600,49500,12500000
2023-01-12,49500,52800,48200,51200,13200000
2023-01-13,51200,54500,49800,52800,14500000
2023-01-17,52800,55900,51200,54200,15200000
2023-01-18,54200,57500,52800,55800,16500000
2023-01-19,55800,59200,54200,57500,17800000
2023-01-20,57500,61200,55800,59200,19200000
2023-01-23,59200,62800,57500,60800,20500000
2023-01-24,60800,58200,56500,57200,18900000
2023-01-25,57200,59500,54800,56200,17500000
2023-01-26,56200,58800,53500,55800,16200000
2023-01-27,55800,57200,52800,54200,15800000
2023-01-30,54200,56500,51200,53500,14500000
2023-01-31,53500,55800,50500,52200,13800000
2023-02-01,52200,54500,49800,51500,12900000
2023-02-02,51500,53800,48500,50200,11800000
2023-02-03,50200,52500,47800,49500,10900000
2023-02-06,49500,51800,46500,48200,10200000
2023-02-07,48200,50500,45800,47500,9500000
2023-02-08,47500,49800,44500,46200,8900000
2023-02-09,46200,48500,43800,45500,8200000
2023-02-10,45500,47800,42500,44200,7800000
2023-02-13,44200,46500,41800,43500,7200000
2023-02-14,43500,45800,40500,42200,6800000
2023-02-15,42200,44500,39800,41500,6200000
2023-02-16,41500,43800,38500,40200,5900000
2023-02-17,40200,42500,37800,39500,5500000
2023-02-21,39500,41800,36500,38200,5200000
2023-02-22,38200,40500,35800,37500,4900000
2023-02-23,37500,39800,34500,36200,4600000
2023-02-24,36200,38500,33800,35500,4300000
2023-02-27,35500,37800,32500,34200,4100000
2023-02-28,34200,36500,31800,33500,3900000
2023-03-01,33500,35800,30500,32200,3700000
2023-03-02,32200,34500,29800,31500,3500000
2023-03-03,31500,33800,28500,30200,3400000
2023-03-06,30200,32500,27800,29500,3200000
2023-03-07,29500,31800,26500,28200,3100000
2023-03-08,28200,30500,25800,27500,2900000
2023-03-09,27500,29800,24500,26200,2800000
2023-03-10,26200,28500,23800,25500,2700000
2023-03-13,25500,27800,22500,24200,2600000
2023-03-14,24200,26500,21800,23500,2500000
2023-03-15,23500,25800,20500,22200,2400000
