Ticker,ADF_Statistic,p_value,Is_Stationary,Critical_Value_1%,Critical_Value_5%,Critical_Value_10%
AAPL,-17.768820138596126,3.314238008244948e-30,True,-3.4325382049645357,-2.8625068071065787,-2.5672846570213257
AMZN,-55.32039903108602,0.0,True,-3.43253236279788,-2.86250422682754,-2.5672832833096195
GOOG,-18.73583610396516,2.0299993111758445e-30,True,-3.4325382049645357,-2.8625068071065787,-2.5672846570213257
JPM,-15.95601506900972,7.266954744899686e-29,True,-3.4325411377931645,-2.8625081024316796,-2.5672853466382444
META,-18.686638902196858,2.0404435312070967e-30,True,-3.4325389374354,-2.862507130612779,-2.5672848292524693
MSFT,-18.939322779490936,0.0,True,-3.4325382049645357,-2.8625068071065787,-2.5672846570213257
NVDA,-19.632575099818325,0.0,True,-3.432537472983712,-2.8625064838167327,-2.5672844849053806
TSLA,-37.77222543889905,0.0,True,-3.4325330913621452,-2.862504548608965,-2.5672834546224057
V,-14.731032953068251,2.659541742923333e-27,True,-3.4325433425790584,-2.862509076205607,-2.5672858650649757
WMT,-18.711505581638882,2.0346165721645944e-30,True,-3.4325382049645357,-2.8625068071065787,-2.5672846570213257
